Area,Latitude,Longitude
Daugavgrīva Birzes 46,57.036539584484,24.024571920613
centrs Kalpaka bulv. 7,56.957600376083,24.107481485283
Imanta Anniņmuižas 38k-4,56.961414466163,24.01848622469
Ziepniekkalns Ozolciema 48,56.900377544641,24.10121355579
Āgenskalns Krūzes 2,56.937535818171,24.052767271201
Imanta Anniņmuižas 38 k-4,56.961414466163,24.01848622469
Teika Brīvības 281,56.980104654007,24.188917576585
Imanta Imantas 1. l. 19,56.951958007117,24.035834366209
Ķengarags Prūšu 26,56.912809699113,24.190209770812
Imanta,56.9601,24.0022
Iļģuciems,56.9715,24.064
Maskavas priekšpilsēta,56.531181667,21.0152575
Maskavas priekšpilsēta Kalna 13,56.329803056,25.820995556
Ziepniekkalns,56.9141,24.0931
Āgenskalns,56.9355,24.0709
Āgenskalns Smiļģa 10,56.941218741783,24.079950710888
centrs Vaļņu 19,55.884214148803,26.504755498145
centrs Miera 95,56.965718958262,24.13337269279
Sarkandaugava Sīmaņa 3C,56.993006955569,24.127459744442
Purvciems Pūces 47,56.953614810174,24.191271769397
Purvciems Zvaigznāja g. 10,56.952462688532,24.206673514194
Iļģuciems Dzirciema 7,56.961840261103,24.052983206757
Ziepniekkalns Graudu 30,56.908615234147,24.097472463368
centrs Čaka 26,56.955505350816,24.134899877847
Purvciems Dzelzavas 35/1,56.959429934202,24.18143691832
Āgenskalns,56.9355,24.0709
Ķengarags Maskavas 261,56.920976290426,24.171605011877
Mežaparks Siguldas pr. 48,56.997487464453,24.148019637981
Bolderāja Kvarca 3,57.028773541099,24.04083760837
Jugla Tirzas 3/k-6,56.988589939503,24.223844808194
centrs Ģertrūdes 91,56.953211031995,24.130472460693
Purvciems Nīcgales 49,56.952168441788,24.17492248417
centrs Vaļņu 19,55.884214148803,26.504755498145
Āgenskalns M. Nometņu 1,56.933857395388,24.079102423041
centrs Avotu 6,56.94784,24.13023
centrs Lāčplēša 68,56.952387238432,24.128961482185
Ziepniekkalns Valdeķu 68,56.900634267175,24.096037265836
Ķengarags,56.9149,24.1752
Daugavgrīva Esplanādes 5,57.041472226229,24.034562111316
centrs Maskavas 106,56.939430212108,24.137524992292
Purvciems Madonas 2,56.959671815656,24.16674918831
centrs Ģertrūdes 105 k-1,56.953211031995,24.130472460693
Brekši Juglasciema b. 54,56.971544677844,24.317877648546
Teika,56.733654,24.186503
Zolitūde,56.9432,24.0076
Jugla Kvēles 27,56.983622782068,24.244922054918
centrs Kalniņa 4,56.949473222585,24.121007214162
centrs Vidus 11,56.961302158342,24.102662665066
Jugla Brīvības 375,56.987218326596,24.221309915598
centrs Pulkv. Brieža 43,56.962117310462,24.105807079603
Daugavgrīva Parādes 22,57.039554418796,24.025612472157
Purvciems Dzelzavas 73,56.956338702506,24.19854785934
Jugla Baltezera 7,56.990402489885,24.240244290029
Mežciems Druvienas 21,56.971867734755,24.229248070293
Ķengarags,56.9149,24.1752
Šampēteris-Pleskodāle,56.933160003709,24.018174989157
Āgenskalns,56.9355,24.0709
centrs Krāsotāju 24,56.955968126168,24.146686915377
Pļavnieki Praulienas 12,56.935024154216,24.208966579828
centrs Tērbatas 38,56.955384101349,24.124878221691
centrs Vīlandes 16,56.961324990035,24.102139160332
Jugla Vangažu 37,56.987845845024,24.235876474876
centrs Bruņinieku 96,56.955398982435,24.133081638963
Ķengarags Aviācijas 23/1,56.903829803118,24.201511039076
Purvciems Ķeguma 60,56.964470062037,24.196063131461
centrs Čaka 114,56.955505350816,24.134899877847
Purvciems Dzelzavas 76,56.955232915425,24.197761492994
centrs Ģertrūdes 65/2,56.953211031995,24.130472460693
Ķengarags,56.9149,24.1752
Ķengarags,56.9149,24.1752
Purvciems,56.9557,24.1822
Purvciems,56.9557,24.1822
Āgenskalns,56.9355,24.0709
Imanta,56.9601,24.0022
Imanta,56.9601,24.0022
Pļavnieki Dravnieku 6,56.943804217849,24.211945956417
centrs Ģertrūdes 65/3,56.953211031995,24.130472460693
centrs Duntes 24,56.984323401706,24.135734578478
Ķengarags Maskavas 268 k2,56.905374960624,24.184782170554
Iļģuciems Dzirciema 61,56.963078590336,24.054048954233
