,Manufacturer,Model,Year,Motor Liters,Milage,Price
0,Alfa Romeo,147,2006,1.6,281 tūkst.,900  €
1,Alfa Romeo,159,2009,2.4D,135 tūkst.,"8,500  €"
2,Alfa Romeo,159,2007,1.9D,180 tūkst.,"5,900  €"
3,Alfa Romeo,Giulietta,2011,2.0D,246 tūkst.,"4,550  €"
4,Alfa Romeo,Citi,2009,1.3D,-,"3,990  €"
5,Alfa Romeo,159,2010,2.0D,343 tūkst.,"1,500  €"
6,Alfa Romeo,Stelvio,2023,2.0,10,"59,900  €"
7,Alfa Romeo,159,2010,1.8,190 tūkst.,"7,900  €"
8,Alfa Romeo,159,2008,1.9D,189 tūkst.,"5,500  €"
9,Alfa Romeo,156,2005,1.8,239 tūkst.,"1,900  €"
10,Alfa Romeo,159,2008,1.9D,-,"3,870  €"
11,Alfa Romeo,147,2005,2.0,-,"1,890  €"
12,Alfa Romeo,Giulietta,2012,2.0D,-,"4,760  €"
13,Alfa Romeo,Giulietta,2011,1.4,268 tūkst.,"4,950  €"
14,Alfa Romeo,159,2006,1.9D,254 tūkst.,"1,600  €"
15,Alfa Romeo,147,2002,1.6,259 tūkst.,"1,000  €"
16,Alfa Romeo,159,2006,1.9D,406 tūkst.,"1,900  €"
17,Alfa Romeo,Stelvio,2017,2.2D,111 tūkst.,"24,900  €"
18,Alfa Romeo,Stelvio,2019,2.2D,157 tūkst.,"27,900  €"
19,Alfa Romeo,Stelvio,2017,2.2D,174 tūkst.,"22,900  €"
20,Alfa Romeo,Brera,2007,3.2,93 tūkst.,"12,500  €"
21,Alfa Romeo,147,2001,1.6,-,400  €
22,Alfa Romeo,159,2008,1.9D,450 tūkst.,"2,000  €"
23,Alfa Romeo,Citi,-,-,-,pērku 
24,Alfa Romeo,159,2008,1.9D,248 tūkst.,"5,900  €"
25,Alfa Romeo,159,2009,1.9D,-,"4,690  €"
26,Alfa Romeo,159,2007,1.9D,285 tūkst.,"2,200  €"
27,Alfa Romeo,156,2006,1.9D,258 tūkst.,"3,500  €"
28,Alfa Romeo,Stelvio,2019,2.9,90 tūkst.,"47,990  €"
29,Alfa Romeo,159,2010,2.4D,326 tūkst.,"4,790  €"
30,Alfa Romeo,147,2009,1.6,156 tūkst.,"2,800  €"
31,Alfa Romeo,Giulia,2016,2.2D,-,"20,990  €"
32,Alfa Romeo,GTV,2003,2.0,190 tūkst.,"5,900  €"
33,Alfa Romeo,Citi,2022,1.5,15 tūkst.,"35,490  €"
34,Alfa Romeo,166,2004,2.4D,378 tūkst.,"2,500  €"
35,Alfa Romeo,Citi,2011,1.3D,175 tūkst.,"4,900  €"
36,Alfa Romeo,Giulia,2017,2.2D,169 tūkst.,"21,900  €"
37,Alfa Romeo,Citi,2011,1.3D,204 tūkst.,"3,850  €"
38,Alfa Romeo,156,2000,2.0,-,"1,800  €"
39,Audi,A4,2003,1.9D,-,"3,400  €"
40,Audi,A4,2020,2.0D,100 tūkst.,"25,650  €"
41,Audi,A4,2019,2.0D,111 tūkst.,"24,150  €"
42,Audi,TT,2008,2.0,-,"9,000  €"
43,Audi,Q7,2015,3.0D,173 tūkst.,"30,900  €"
44,Audi,Q7,2007,3.6,183 tūkst.,"8,300  €"
45,Audi,A5,2015,2.0D,216 tūkst.,"14,900  €"
46,Audi,Q5,2021,2.0,30 tūkst.,"42,990  €"
47,Audi,A4,2007,2.0D,311 tūkst.,"3,500  €"
48,Audi,A4,2002,1.9D,395 tūkst.,"1,850  €"
49,Audi,Allroad,2010,2.0D,238 tūkst.,"9,500  € maiņai"
50,Audi,A4,2012,2.0D,-,"9,550  €"
51,Audi,A6,2002,1.8,370 tūkst.,"2,300  €"
52,Audi,A6,-,-,-,pērku 
53,Audi,Q5,2021,2.0D,114 tūkst.,"44,500  €"
54,Audi,A4,-,-,-,pērku 
55,Audi,A6,1995,2.3,-,pērku 
56,Audi,A4,-,-,-,pērku 
57,Audi,100,1993,2.6,-,pērku 
58,Audi,A6,1996,2.3,-,pērku 
59,Audi,A6,2013,2.0D,-,"9,300  €"
60,Audi,A4,2017,3.0D,138 tūkst.,"24,490  €"
