,Region,Area,Nr of rooms,m2,Floor,House type,Price
0,Rīga,Daugavgrīva Birzes 46,2,56,3/4,103.,280  €/mēn.
1,Rīga,centrs Kalpaka bulv. 7,2,79,3/6,Renov.,"245,000  €"
2,Rīga,Imanta Anniņmuižas 38k-4,2,57,6/17,Jaun.,"111,000  €"
3,Rīga,Ziepniekkalns Ozolciema 48,1,40,1/9,602.,"38,250  €"
4,Rīga,Āgenskalns Krūzes 2,1,26,2/2,P. kara,200  €/mēn.
5,Rīga,Imanta Anniņmuižas 38 k-4,2,70,13/18,Jaun.,"109,000  €"
6,Rīga,Teika Brīvības 281,4,75,5/5,Specpr.,"80,700  €"
7,Rīga,Imanta Imantas 1. l. 19,1,25,1/1,Priv. m.,230  €/mēn.
8,Rīga,Ķengarags Prūšu 26,2,48,1/3,Renov.,340  €/mēn.
9,Rīga,Imanta,Citi,-,-,-,pērku 
10,Rīga,Iļģuciems,Citi,-,-,-,pērku 
11,Rīga,Maskavas priekšpilsēta,Citi,-,-,-,pērku 
12,Rīga,Maskavas priekšpilsēta Kalna 13,1,30,3/5,P. kara,200  €/mēn.
13,Rīga,Ziepniekkalns,Citi,-,-,-,pērku 
14,Rīga,Āgenskalns,Citi,-,-,-,pērku 
15,Rīga,Āgenskalns Smiļģa 10,2,60,1/3,Renov.,600  €/mēn.
16,Rīga,centrs Vaļņu 19,2,70,3/7,Renov.,700  €/mēn.
17,Rīga,centrs Miera 95,3,86,6/7,P. kara,550  €/mēn.
18,Rīga,Sarkandaugava Sīmaņa 3C,3,63,2/2,P. kara,"40,900  €"
19,Rīga,Purvciems Pūces 47,2,56,6/7,Jaun.,"105,000  €"
20,Rīga,Purvciems Zvaigznāja g. 10,1,30,2/5,LT proj.,"48,500  €"
21,Rīga,Iļģuciems Dzirciema 7,2,50,5/5,LT proj.,"40,500  €"
22,Rīga,Ziepniekkalns Graudu 30,1,29,4/5,Hrušč.,250  €/mēn.
23,Rīga,centrs Čaka 26,3,62,5/6,Renov.,950  €/mēn.
24,Rīga,Purvciems Dzelzavas 35/1,3,63,3/5,Jaun.,"129,990  €"
25,Rīga,Āgenskalns,2,-,-,-,vēlos īret 
26,Rīga,Ķengarags Maskavas 261,2,26,3/5,Renov.,320  €/mēn.
27,Rīga,Mežaparks Siguldas pr. 48,4,187,2/3,Priv. m.,"420,000  €"
28,Rīga,Bolderāja Kvarca 3,1,17,1/2,Renov.,200  €/mēn.
29,Rīga,Jugla Tirzas 3/k-6,1,29,1/5,Hrušč.,260  €/mēn.
30,Rīga,centrs Ģertrūdes 91,3,82,2/5,P. kara,"130,000  €"
31,Rīga,Purvciems Nīcgales 49,1,30,5/5,LT proj.,300  €/mēn.
32,Rīga,centrs Vaļņu 19,1,38,4/7,Renov.,500  €/mēn.
33,Rīga,Āgenskalns M. Nometņu 1,5,143,2/4,Jaun.,"315,000  €"
34,Rīga,centrs Avotu 6,2,28,2/2,Priv. m.,250  €/mēn.
